,Unnamed: 0,place_name,price_aprox_usd,surface_covered_in_m2,price_usd_per_m2,rooms_compuesta,amenitie_balcon,amenitie_cochera,amenitie_parrilla,amenitie_pileta,amenitie_amoblado,estrenar,lat,lon,distsubte
2932,53736,Belgrano,530000.0,150.0,1766.666666666667,3.0,1,1,1,0,0,0,-34.5589795023,-58.4537634365,0.004302971569691695
2933,53754,Palermo,232000.0,85.0,2274.509803921569,3.0,1,0,0,0,0,0,-34.573075442,-58.4465250777,0.0035820354041710615
2934,53756,Caballito,75000.0,33.0,2205.8823529411766,1.0,1,0,0,0,0,0,-34.6040302276,-58.4323198061,0.002140892350009451
2935,53758,Belgrano,116000.0,31.0,2416.6666666666665,3.0,1,0,0,0,0,0,-34.5637721707,-58.4685811851,0.01022633436900588
2936,53759,Palermo,170000.0,58.0,2698.4126984126983,3.0,1,0,0,0,0,0,-34.5747353546,-58.43145653569999,0.0035844793819490846
2937,53766,Belgrano,295000.0,67.0,3831.1688311688313,3.0,1,0,1,1,0,0,-34.5589105703,-58.44407585890001,0.010869986996433365
2938,53767,Belgrano,365000.0,95.0,3173.913043478261,3.0,1,1,0,0,0,0,-34.5532068062,-58.455662813900005,0.007143405240585034
2939,53780,Belgrano,420000.0,158.0,2658.227848101266,3.0,1,1,0,0,0,0,-34.5587782092,-58.4511372401,0.006411698109045157
2940,53781,Palermo,550000.0,151.0,3313.253012048193,3.0,1,1,0,0,0,0,-34.5629814525,-58.4395442972,0.008699814771794816
2941,53782,Belgrano,550000.0,151.0,3313.253012048193,3.0,1,1,0,0,0,0,-34.5629814525,-58.4395442972,0.008699814771794816
2942,53783,Palermo,195000.0,66.0,2954.5454545454545,3.0,0,0,0,0,0,0,-34.5892546919,-58.4099743324,0.0016663548455579723
2943,53784,Palermo,175000.0,58.0,2822.5806451612902,3.0,1,0,0,0,0,0,-34.5864247079,-58.4083500983,0.0034569889054283987
2944,53787,Palermo,265000.0,104.0,2387.387387387387,3.0,1,1,0,0,0,0,-34.57125574,-58.4442499388,0.001311877580859569
2945,53793,Belgrano,395000.0,128.0,2283.236994219653,3.0,1,1,0,0,0,0,-34.5644084034,-58.4372514317,0.009295774871131287
2946,53794,Palermo,395000.0,128.0,2283.236994219653,3.0,1,1,0,0,0,0,-34.5644084034,-58.4372514317,0.009295774871131287
2947,53797,Palermo,2200000.0,390.0,5641.025641025641,3.0,0,1,0,1,0,1,-34.5762016228,-58.4128136643,0.009489493752181236
2948,53798,Caballito,100000.0,58.0,1562.5,3.0,1,0,0,0,0,0,-34.614629539,-58.4455360245,0.007235610116587164
2949,53801,Belgrano,620000.0,169.0,3147.208121827411,4.0,1,1,0,0,0,0,-34.5644084034,-58.4372514317,0.009295774871131287
2950,53803,Belgrano,290000.0,110.0,1715.9763313609467,3.0,1,1,0,0,0,0,-34.5595276866,-58.461720343100005,0.003941246668979466
2951,53812,Palermo,140000.0,40.0,3111.1111111111118,1.0,1,0,0,0,0,1,-34.5737325112,-58.4325322554,0.0028717995770815275
2952,53813,Belgrano,105000.0,35.0,2333.333333333333,3.0,1,0,0,0,0,0,-34.5596662579,-58.4572779522,0.0027580389521384445
2953,53815,Palermo,120000.0,45.0,2264.1509433962265,3.0,1,0,0,0,0,0,-34.5983427898,-58.4216991591,0.004878059839210575
2954,53816,Caballito,415000.0,200.0,1844.4444444444448,4.0,1,1,0,0,0,0,-34.6200810666,-58.4387105445,0.002488284054898911
2955,53824,Palermo,198000.0,42.0,3960.0,3.0,1,0,0,0,0,0,-34.5768892189,-58.423478885200005,0.002708097795120683
2956,53843,Palermo,100000.0,31.0,3225.8064516129034,3.0,0,1,0,0,0,0,-34.5739668356,-58.43231290560001,0.002959931359128005
2957,53849,Belgrano,135000.0,42.0,3068.181818181818,1.0,1,1,1,0,0,0,-34.5674669212,-58.472783156400006,0.0132082150368444
2958,53850,Belgrano,130000.0,43.0,2888.888888888889,1.0,1,1,1,0,0,0,-34.5674669212,-58.472783156400006,0.0132082150368444
2959,53856,Belgrano,186800.0,41.0,4060.869565217392,3.0,0,0,1,1,0,0,-34.5628837815,-58.4531082775,0.0034293539373397813
2960,53857,Belgrano,308000.0,75.0,3756.0975609756097,3.0,0,1,1,1,0,0,-34.5543986203,-58.4577159723,0.00482532082239776
2961,53858,Palermo,285000.0,60.0,4750.0,3.0,1,1,1,1,0,1,-34.574030047600004,-58.4230198353,0.005151134624703454
2962,53864,Belgrano,125000.0,36.0,2016.1290322580649,1.0,1,0,0,0,0,0,-34.563618175500004,-58.4387002537,0.008746467548202947
2963,53869,Belgrano,650000.0,200.0,2914.7982062780266,3.0,1,1,0,0,0,0,-34.5644084034,-58.4372514317,0.009295774871131287
2964,53870,Belgrano,97100.0,32.0,2855.8823529411766,1.0,0,0,1,1,0,1,-34.5642275618,-58.457687887,0.0022622008998078313
2965,53871,Belgrano,95600.0,32.0,2811.7647058823527,1.0,0,0,1,1,0,1,-34.5642275618,-58.457687887,0.0022622008998078313
2966,53876,Palermo,680000.0,135.0,4927.536231884058,3.0,0,1,1,1,0,0,-34.5942560813,-58.4263716212,0.009302640770656958
2967,53883,Belgrano,580000.0,143.0,3536.5853658536585,3.0,1,1,0,0,0,0,-34.565794736,-58.4422422844,0.004865462766844847
2968,53895,Palermo,193200.0,44.0,4025.0,3.0,0,0,1,0,0,0,-34.580887751599995,-58.410504206800006,0.0069233793270837415
2969,53915,Palermo,185000.0,34.0,5138.88888888889,1.0,1,1,1,1,0,1,-34.5729764845,-58.4320494515,0.0036924324382981493
2970,53916,Palermo,180000.0,31.0,5625.0,1.0,1,1,1,1,0,1,-34.5729764845,-58.4320494515,0.0036924324382981493
2971,53922,Belgrano,205000.0,60.0,3416.666666666666,2.0,1,0,0,0,0,0,-34.5726325488,-58.4606272304,0.01065173630737376
2972,53923,Belgrano,145000.0,32.0,3815.7894736842095,1.0,1,0,1,1,0,0,-34.56676746,-58.4358745163,0.008454856530349353
2973,53935,Belgrano,395000.0,126.0,1880.952380952381,3.0,0,0,0,0,0,0,-34.56324026,-58.458541406,0.0022536417428660463
2974,53968,Belgrano,370000.0,135.0,2587.4125874125875,3.0,1,1,0,0,0,0,-34.561256885300004,-58.4575267127,0.0014777336527396485
2975,53983,Palermo,355000.0,125.0,2773.4375,3.0,0,1,0,1,0,0,-34.5840194326,-58.410760042700005,0.004251328546716441
2976,54036,Caballito,120000.0,40.0,2666.6666666666665,3.0,1,0,0,0,0,0,-34.6206410571,-58.4452732952,0.004102454872976855
2977,54044,Belgrano,126828.0,29.0,3523.0,3.0,0,0,0,1,0,0,-34.5673249835,-58.4498267144,0.00255272725285259
2978,54047,Belgrano,134000.0,31.0,3526.315789473684,3.0,0,0,0,1,0,0,-34.5673249835,-58.4498267144,0.00255272725285259
2979,54049,Belgrano,94460.0,22.0,3778.4,3.0,0,0,0,1,0,0,-34.5673249835,-58.4498267144,0.00255272725285259
2980,54052,Belgrano,94927.0,23.0,3651.038461538461,3.0,0,0,0,1,0,0,-34.5673249835,-58.4498267144,0.00255272725285259
2981,54055,Belgrano,108633.0,29.0,3394.78125,3.0,0,0,0,1,0,0,-34.5673249835,-58.4498267144,0.00255272725285259
2982,54060,Palermo,145000.0,47.0,2900.0,1.0,0,1,1,0,0,0,-34.5818495422,-58.4435433242,0.010659668107321319
2983,54062,Palermo,126000.0,39.0,3000.0,1.0,0,1,1,0,0,0,-34.5818495422,-58.4435433242,0.010659668107321319
2984,54077,Palermo,237000.0,110.0,2060.8695652173915,3.0,1,1,0,0,0,0,-34.5771741092,-58.4300505653,0.004515006871024329
2985,54085,Belgrano,390000.0,126.0,2468.354430379746,3.0,1,1,0,0,0,0,-34.565132780700004,-58.456909543,0.0028548186208860425
2986,54089,Palermo,160000.0,18.0,5161.290322580645,3.0,1,1,0,0,0,0,-34.57154091,-58.4321322175,0.004640372361243116
2987,54092,Palermo,110550.0,29.0,3350.0,3.0,1,1,0,0,0,0,-34.57154091,-58.4321322175,0.004640372361243116
2988,54094,Palermo,156000.0,43.0,3319.148936170213,3.0,1,1,0,0,0,0,-34.57154091,-58.4321322175,0.004640372361243116
2989,54132,Belgrano,119940.0,29.0,3748.125,3.0,0,0,0,1,0,0,-34.5673249835,-58.4498267144,0.00255272725285259
2990,54134,Belgrano,139414.0,31.0,3668.7894736842095,3.0,0,0,0,1,0,0,-34.5673249835,-58.4498267144,0.00255272725285259
2991,54136,Belgrano,245000.0,91.0,2149.122807017544,3.0,1,0,0,0,0,0,-34.5564151069,-58.4615261795,0.0011508037569893245
2992,54138,Belgrano,131952.0,29.0,3665.333333333334,3.0,0,0,0,1,0,0,-34.5673249835,-58.4498267144,0.00255272725285259
2993,54142,Belgrano,117588.0,29.0,3674.625,3.0,0,0,0,1,0,0,-34.5673249835,-58.4498267144,0.00255272725285259
2994,54144,Belgrano,231648.0,54.0,3457.4328358208954,3.0,0,0,0,1,0,0,-34.5673249835,-58.4498267144,0.00255272725285259
2995,54146,Belgrano,114000.0,35.0,2714.285714285714,3.0,1,0,0,0,0,0,-34.5602098291,-58.4692614686,0.008260975531269811
2996,54149,Belgrano,150000.0,47.0,2205.8823529411766,3.0,1,0,0,0,0,0,-34.5602098291,-58.4692614686,0.008260975531269811
2997,54151,Belgrano,210000.0,57.0,1891.891891891892,3.0,0,0,0,0,0,0,-34.5602098291,-58.4692614686,0.008260975531269811
2998,54153,Belgrano,114210.0,35.0,2719.285714285714,3.0,1,0,0,0,0,0,-34.5602098291,-58.4692614686,0.008260975531269811
2999,54156,Belgrano,230000.0,51.0,2346.938775510204,3.0,1,0,0,0,0,0,-34.5602098291,-58.4692614686,0.008260975531269811
3000,54159,Belgrano,263000.0,58.0,2327.433628318584,3.0,1,0,0,0,0,0,-34.5602098291,-58.4692614686,0.008260975531269811
3001,54162,Belgrano,146000.0,33.0,1738.095238095238,3.0,1,0,0,0,0,0,-34.5602098291,-58.4692614686,0.008260975531269811
3002,54165,Belgrano,144000.0,33.0,1822.784810126583,3.0,1,0,0,0,0,0,-34.5602098291,-58.4692614686,0.008260975531269811
3003,54172,Palermo,480000.0,76.0,6315.789473684212,3.0,1,1,0,1,1,0,-34.5820867718,-58.4321174026,0.0073801577141199455
3004,54179,Belgrano,1900000.0,500.0,3454.5454545454545,5.0,1,1,0,0,0,0,-34.5619991043,-58.4444961411,0.008015049421752846
3005,54181,Palermo,187000.0,85.0,2200.0,2.0,0,0,0,0,0,0,-34.5815233054,-58.4238843026,0.002690629197474769
3006,54186,Palermo,240000.0,44.0,4363.636363636364,3.0,1,1,0,1,0,0,-34.570218657,-58.43410147270001,0.0050428712019331655
3007,54216,Palermo,1450000.0,337.0,3897.849462365592,4.0,0,0,0,0,0,0,-34.5732143712,-58.41924054760001,0.008306148200839504
3008,54232,Belgrano,105000.0,42.0,2500.0,3.0,1,0,0,0,0,1,-34.5563866925,-58.461898274,0.0008862526326749926
3009,54236,Palermo,185000.0,50.0,3303.5714285714284,3.0,1,0,0,0,0,0,-34.5701787108,-58.432229072,0.005722740635414556
3010,54238,Palermo,185000.0,50.0,3303.5714285714284,3.0,1,0,0,0,0,0,-34.5701787108,-58.432229072,0.005722740635414556
3011,54240,Palermo,625000.0,110.0,5434.782608695652,3.0,0,0,0,0,0,0,-34.5771664987,-58.4253029494,0.0013203053512665707
3012,54259,Palermo,252000.0,52.0,4500.0,3.0,1,1,0,1,0,1,-34.5777768214,-58.4243003491,0.0015516009478410316
3013,54263,Palermo,267000.0,52.0,4767.857142857143,3.0,1,1,0,1,0,1,-34.5777768214,-58.4243003491,0.0015516009478410316
3014,54268,Palermo,270000.0,52.0,4821.428571428572,3.0,1,1,0,1,0,1,-34.5777768214,-58.4243003491,0.0015516009478410316
3015,54271,Palermo,156900.0,50.0,3138.0,3.0,1,0,0,1,0,0,-34.598132833600005,-58.4065190951,0.0028161004049516852
3016,54285,Belgrano,1200000.0,200.0,6000.0,4.0,1,1,0,0,1,0,-34.552544007,-58.4429773595,0.01644971236893357
3017,54289,Belgrano,340000.0,73.0,4657.534246575343,3.0,0,1,0,0,0,0,-34.5613700069,-58.460146964,0.0037764516982674544
3018,54297,Belgrano,107443.0,34.0,2827.447368421052,1.0,1,0,0,0,0,1,-34.5671445749,-58.4723635158,0.013722408473859457
3019,54299,Palermo,395000.0,82.0,4488.636363636364,3.0,1,1,1,1,0,1,-34.5855591485,-58.4231672913,0.0045925460564357565
3020,54300,Belgrano,169000.0,54.0,2913.793103448276,1.0,1,0,0,0,0,1,-34.5671445749,-58.4723635158,0.013722408473859457
3021,54303,Palermo,229000.0,86.0,2489.1304347826085,3.0,1,0,0,0,0,0,-34.5881764611,-58.4311133775,0.011150335576677708
3022,54307,Belgrano,390000.0,150.0,2074.468085106383,3.0,0,1,1,0,0,0,-34.5637055749,-58.449687843,0.003498729121278403
3023,54309,Caballito,100000.0,33.0,2702.7027027027025,1.0,1,1,0,1,0,1,-34.6104601636,-58.44804098109999,0.012083445708689121
3024,54312,Palermo,240000.0,56.0,3870.967741935484,1.0,1,1,1,1,0,1,-34.5818495422,-58.4435433242,0.010659668107321319
3025,54314,Palermo,360000.0,90.0,3673.469387755101,3.0,1,1,0,0,0,0,-34.5868776333,-58.4392533854,0.009625391613610623
3026,54316,Belgrano,767000.0,156.0,3291.845493562232,3.0,0,1,1,1,0,1,-34.5503083819,-58.4463485371,0.0157114175130265
3027,54317,Belgrano,140000.0,42.0,3111.1111111111118,1.0,0,1,0,0,0,0,-34.5546094807,-58.4392982801,0.016312037528289452
3028,54319,Palermo,147000.0,50.0,2940.0,1.0,1,0,0,1,0,0,-34.597925280300004,-58.4167164837,0.006744036481010982
3029,54323,Belgrano,106000.0,20.0,5300.0,3.0,1,0,0,0,0,1,-34.5735693694,-58.438418622700006,0.0037660980933547743
3030,54324,Caballito,158700.0,41.0,3306.25,3.0,1,0,0,0,0,0,-34.6278237725,-58.4482772737,0.00431076061439638
3031,54326,Belgrano,105000.0,32.0,2916.666666666666,1.0,1,0,0,0,0,0,-34.5735693694,-58.438418622700006,0.0037660980933547743
3032,54330,Palermo,157500.0,60.0,2423.076923076923,1.0,0,1,0,0,0,1,-34.5825881654,-58.4235538802,0.002635301480162516
3033,54331,Belgrano,110000.0,30.0,3333.333333333333,1.0,1,1,1,1,0,0,-34.573331225,-58.4383358655,0.0038012907362118716
3034,54333,Caballito,163700.0,41.0,3410.416666666666,3.0,0,0,0,0,0,0,-34.6278237725,-58.4482772737,0.00431076061439638
3035,54335,Palermo,135000.0,39.0,3214.285714285714,1.0,0,1,1,0,0,0,-34.5818495422,-58.4435433242,0.010659668107321319
3036,54339,Caballito,459500.0,106.0,3676.0,3.0,0,0,0,0,0,0,-34.6278237725,-58.4482772737,0.00431076061439638
3037,54357,Palermo,169000.0,47.0,3129.6296296296296,1.0,1,1,1,0,0,1,-34.5980286577,-58.4133409058,0.006253315347349496
3038,54361,Palermo,169000.0,47.0,3129.6296296296296,1.0,1,1,1,0,0,0,-34.5980286577,-58.4133409058,0.006253315347349496
3039,54365,Palermo,240000.0,56.0,3870.967741935484,1.0,1,1,1,1,0,0,-34.5818495422,-58.4435433242,0.010659668107321319
3040,54369,Palermo,272250.0,52.0,4614.406779661017,1.0,1,1,1,1,0,1,-34.5777158213,-58.4124380173,0.008229674434075487
3041,54374,Palermo,290000.0,110.0,2636.3636363636365,3.0,1,0,0,0,0,0,-34.5832125756,-58.4475600924,0.008465889977450297
3042,54377,Belgrano,116000.0,31.0,3741.935483870968,1.0,1,0,0,0,0,0,-34.5735693694,-58.438418622700006,0.0037660980933547743
3043,54382,Palermo,135000.0,47.0,2700.0,1.0,0,1,1,0,0,0,-34.5818495422,-58.4435433242,0.010659668107321319
3044,54396,Belgrano,1200000.0,265.0,4528.301886792453,4.0,0,1,0,1,0,0,-34.5644084034,-58.4372514317,0.009295774871131287
3045,54410,Belgrano,385000.0,161.0,2333.333333333333,3.0,1,1,0,0,0,0,-34.5588267392,-58.453618498900006,0.00451301400850761
3046,54427,Belgrano,310000.0,66.0,4246.575342465753,2.0,1,0,0,0,0,0,-34.5645140401,-58.4631267058,0.00699422402885239
3047,54437,Belgrano,140000.0,42.0,3111.1111111111118,1.0,0,1,0,0,0,0,-34.5546094807,-58.4392982801,0.016312037528289452
3048,54441,Belgrano,135000.0,44.0,2872.340425531915,1.0,0,1,0,0,0,0,-34.5546094807,-58.4392982801,0.016312037528289452
3049,54443,Belgrano,140000.0,42.0,3111.1111111111118,1.0,0,1,0,0,0,0,-34.5546094807,-58.4392982801,0.016312037528289452
3050,54447,Belgrano,126000.0,44.0,2680.851063829787,1.0,0,1,0,0,0,0,-34.5546094807,-58.4392982801,0.016312037528289452
3051,54458,Palermo,115000.0,34.0,3026.315789473684,1.0,0,0,1,1,0,0,-34.575725946599995,-58.4364997982,0.001583928232407313
3052,54459,Belgrano,205000.0,54.0,3796.296296296296,3.0,0,1,1,0,0,1,-34.5543291122,-58.463143287,0.0015192434494856635
3053,54463,Belgrano,210000.0,54.0,3888.888888888889,3.0,0,0,1,0,0,1,-34.5543291122,-58.463143287,0.0015192434494856635
3054,54466,Palermo,260000.0,49.0,5098.039215686274,3.0,1,1,0,1,0,1,-34.578343553,-58.423364995,0.0023477578380073465
3055,54476,Belgrano,285000.0,60.0,3562.5,3.0,1,1,0,0,0,1,-34.5546094807,-58.4392982801,0.016312037528289452
3056,54488,Palermo,375000.0,120.0,1339.2857142857142,3.0,0,1,1,0,0,0,-34.5903219727,-58.4187633071,0.0058798033610329425
3057,54506,Belgrano,140000.0,38.0,3255.813953488372,3.0,1,1,1,1,0,1,-34.5623122454,-58.466440075200005,0.007809764936460823
3058,54518,Palermo,205500.0,60.0,3261.904761904762,3.0,1,1,0,0,0,1,-34.5825881654,-58.4235538802,0.002635301480162516
3059,54533,Belgrano,100000.0,31.0,3030.3030303030305,1.0,1,0,1,0,0,1,-34.5587372859,-58.4580787446,0.003909555354061866
3060,54541,Belgrano,117000.0,33.0,3078.947368421052,1.0,1,1,1,1,0,1,-34.5623122454,-58.466440075200005,0.007809764936460823
3061,54542,Palermo,105000.0,32.0,2916.666666666666,1.0,1,0,0,0,0,0,-34.5735693694,-58.438418622700006,0.0037660980933547743
3062,54546,Palermo,270000.0,100.0,2700.0,3.0,1,0,0,0,0,0,-34.5895776901,-58.4096234344,0.0021418728305613185
3063,54549,Belgrano,120000.0,32.0,3428.5714285714284,1.0,1,1,1,1,0,0,-34.573331225,-58.4383358655,0.0038012907362118716
3064,54558,Belgrano,265000.0,100.0,2409.090909090909,3.0,1,1,0,0,0,0,-34.5603563214,-58.4582903159,0.0026566045233528575
3065,54566,Belgrano,115000.0,32.0,3285.714285714286,1.0,1,1,1,1,0,0,-34.573331225,-58.4383358655,0.0038012907362118716
3066,54577,Belgrano,260000.0,80.0,2549.019607843137,2.0,0,1,0,0,0,0,-34.5701920154,-58.4481153061,0.0034518388533887664
3067,54591,Palermo,365000.0,53.0,5793.650793650793,1.0,1,1,1,1,0,0,-34.5748188213,-58.4377551418,0.002765083329989436
3068,54611,Palermo,480000.0,139.0,3310.3448275862074,3.0,1,0,0,0,0,0,-34.5709218341,-58.430961186400005,0.005877037234088555
3069,54628,Caballito,75000.0,38.0,1973.684210526316,3.0,0,0,0,0,0,0,-34.6122151188,-58.4553376741,0.013143789802996856
3070,54650,Belgrano,140000.0,32.0,4000.0,1.0,1,1,1,1,0,0,-34.573331225,-58.4383358655,0.0038012907362118716
3071,54652,Caballito,183500.0,74.0,2322.784810126582,3.0,0,0,0,0,0,0,-34.6060340291,-58.452885322,0.014896648025528631
3072,54654,Caballito,215000.0,88.0,2287.234042553192,3.0,1,0,1,1,0,0,-34.6061081743,-58.4573832304,0.017415840495975884
3073,54656,Belgrano,133000.0,30.0,4030.303030303031,1.0,1,1,1,1,0,0,-34.573331225,-58.4383358655,0.0038012907362118716
3074,54657,Caballito,188600.0,74.0,2387.3417721518986,3.0,0,0,0,0,0,0,-34.6060340291,-58.452885322,0.014896648025528631
3075,54660,Caballito,189100.0,68.0,1783.9622641509436,3.0,0,0,0,0,0,0,-34.6060340291,-58.452885322,0.014896648025528631
3076,54663,Caballito,173800.0,40.0,2257.142857142857,3.0,0,0,0,0,0,0,-34.6060340291,-58.452885322,0.014896648025528631
3077,54664,Palermo,260000.0,84.0,2653.061224489796,3.0,1,1,0,0,0,0,-34.583703303200004,-58.418238391,0.0027059428226115633
3078,54666,Caballito,163200.0,40.0,2119.4805194805194,3.0,0,0,0,0,0,0,-34.6060340291,-58.452885322,0.014896648025528631
3079,54669,Caballito,79800.0,35.0,2280.0,1.0,1,1,0,1,0,0,-34.6060340291,-58.452885322,0.014896648025528631
3080,54672,Belgrano,105000.0,30.0,3181.818181818182,1.0,1,1,1,1,0,0,-34.573331225,-58.4383358655,0.0038012907362118716
3081,54674,Palermo,143000.0,50.0,2860.0,3.0,0,0,1,1,0,1,-34.5979430772,-58.4158525248,0.007306092493729904
3082,54675,Caballito,85500.0,35.0,2442.857142857143,1.0,0,0,0,0,0,0,-34.6060340291,-58.452885322,0.014896648025528631
