,place_name,price_aprox_usd,surface_covered_in_m2,price_usd_per_m2,rooms_compuesta,amenitie_balcon,amenitie_cochera,amenitie_parrilla,amenitie_pileta,amenitie_amoblado,estrenar,lat,lon
11079,Belgrano,145000.0,53.0,2735.849056603773,3.0,1,0,0,0,0,0,-34.567464,-58.456074
11082,Caballito,380000.0,185.0,1900.0,1.0,1,1,0,0,0,0,-34.633228,-58.453685
11123,Palermo,360000.0,107.0,3025.2100840336134,4.0,1,1,0,0,0,0,-34.571149600000005,-58.4232966
11128,Belgrano,298000.0,100.0,2785.0467289719627,4.0,1,0,0,0,0,0,-34.5588417,-58.46089920000001
11133,Palermo,218000.0,66.0,2794.871794871795,3.0,1,0,0,0,0,0,-34.58643060000001,-58.421916
11136,Belgrano,115000.0,42.0,1982.7586206896551,2.0,1,0,0,0,0,0,-34.5557517,-58.46393979999999
11143,Belgrano,550000.0,122.0,4166.666666666667,3.0,1,1,0,0,0,0,-34.569133,-58.4465034
11144,Belgrano,570000.0,113.0,4710.743801652892,3.0,1,1,1,1,0,0,-34.5620844,-58.4566864
11162,Belgrano,180000.0,39.0,3333.333333333333,2.0,1,1,0,0,0,0,-34.551306,-58.4523433
11268,Belgrano,297000.0,92.0,2605.263157894737,3.0,1,1,0,0,0,0,-34.566469299999994,-58.4340678
11272,Caballito,295000.0,143.0,1467.6616915422885,4.0,1,1,1,0,0,0,-34.6314253988,-58.442894518500005
11300,Caballito,57800.0,23.0,2513.043478260869,1.0,0,0,0,0,0,0,-34.6205419858,-58.444760117
11303,Caballito,70000.0,29.0,2413.793103448276,1.0,1,0,0,0,0,1,-34.614586,-58.43738100000001
11333,Palermo,156000.0,55.0,2736.842105263158,3.0,1,0,0,0,0,0,-34.5884044,-58.4232567
11486,Palermo,135000.0,34.0,3292.682926829268,1.0,0,1,1,1,0,1,-34.5881473,-58.4393919
11493,Belgrano,208000.0,55.0,3409.8360655737706,3.0,1,1,1,1,0,0,-34.576290388800004,-58.4713205324
11524,Belgrano,850000.0,187.0,4314.720812182741,3.0,1,1,0,0,0,0,-34.5611861,-58.4504346
11570,Palermo,110000.0,38.0,2619.04761904762,2.0,1,0,0,0,0,0,-34.5966325,-58.4263915
11571,Palermo,165000.0,58.0,2661.2903225806454,4.0,1,0,0,0,0,0,-34.5646088,-58.4412253
11574,Palermo,430000.0,186.0,2311.8279569892475,5.0,1,0,0,0,0,0,-34.564747,-58.441472
11575,Belgrano,142000.0,40.0,3550.0,1.0,0,1,0,0,0,0,-34.558927000000004,-58.45877700000001
11656,Belgrano,105000.0,32.0,2625.0,1.0,1,1,0,0,0,1,-34.561069,-58.46594399999999
11710,Belgrano,60000.0,22.0,2727.2727272727275,1.0,0,0,0,0,0,0,-34.562582299999995,-58.4665902
11712,Belgrano,195000.0,73.0,2600.0,3.0,1,1,0,0,0,0,-34.562794200000006,-58.46549649999999
